Record_ID,Noise_Type,SNR_Level,Filter_Technique,Original_SNR,Improved_SNR,SNR_Gain,Original_MSE,Improved_MSE
100,EM,-6,Butterworth,15.874932427208448,23.43374978292657,7.558817355718121,0.000645041276210414,0.00011316334347989858
100,EM,-6,Savitzky-Golay,15.874932427208448,12.166370226071363,-3.7085622011370845,0.000645041276210414,0.00151510847031921
100,EM,-6,Wavelet,15.874932427208448,13.075800478168688,-2.7991319490397597,0.000645041276210414,0.0012288551699320442
100,EM,-6,Moving Average,15.874932427208448,14.221474408142726,-1.653458019065722,0.000645041276210414,0.0009439159135342243
100,EM,0,Butterworth,20.72553403622137,25.115465274058263,4.389931237836894,0.00021111901216785714,7.683059939508312e-05
100,EM,0,Savitzky-Golay,20.72553403622137,13.62775224209511,-7.097781794126259,0.00021111901216785714,0.001082195003727529
100,EM,0,Wavelet,20.72553403622137,14.96191689207927,-5.763617144142099,0.00021111901216785714,0.0007959559976315031
100,EM,0,Moving Average,20.72553403622137,16.886459045434002,-3.839074990787367,0.00021111901216785714,0.00051101640716523
100,EM,6,Butterworth,25.2440088681681,25.572466181257333,0.32845731308923476,7.458987201099726e-05,6.91566791527703e-05
100,EM,6,Savitzky-Golay,25.2440088681681,14.211989889228203,-11.032018978939895,7.458987201099726e-05,0.0009459795757654225
100,EM,6,Wavelet,25.2440088681681,15.777790138982503,-9.466218729185595,7.458987201099726e-05,0.0006596320287534179
100,EM,6,Moving Average,25.2440088681681,18.232820532831305,-7.011188335336794,7.458987201099726e-05,0.0003747992347390881
100,EM,12,Butterworth,30.8040984157755,25.842939875347373,-4.961158540428126,2.073341817814245e-05,6.498105547469356e-05
100,EM,12,Savitzky-Golay,30.8040984157755,14.466024374786976,-16.338074040988523,2.073341817814245e-05,0.0008922330602531092
100,EM,12,Wavelet,30.8040984157755,16.145924602581132,-14.658173813194367,2.073341817814245e-05,0.0006060218578873254
100,EM,12,Moving Average,30.8040984157755,18.905059561262444,-11.899038854513055,2.073341817814245e-05,0.00032105156600801675
100,EM,18,Butterworth,37.10334951597588,25.93326143723354,-11.170088078742339,4.861225833519565e-06,6.364358058335006e-05
100,EM,18,Savitzky-Golay,37.10334951597588,14.543909394740385,-22.559440121235493,4.861225833519565e-06,0.0008763746552736448
100,EM,18,Wavelet,37.10334951597588,16.26085343634604,-20.84249607962984,4.861225833519565e-06,0.00059019483582735
100,EM,18,Moving Average,37.10334951597588,19.124999353614164,-17.978350162361714,4.861225833519565e-06,0.0003051973886788321
100,EM,24,Butterworth,47.814021079568846,25.949510899028,-21.864510180540847,4.1274197769593614e-07,6.340589816640467e-05
100,EM,24,Savitzky-Golay,47.814021079568846,14.565975845138384,-33.248045234430464,4.1274197769593614e-07,0.0008719330994905168
100,EM,24,Wavelet,47.814021079568846,16.293496239415163,-31.520524840153683,4.1274197769593614e-07,0.0005857753940076736
100,EM,24,Moving Average,47.814021079568846,19.188665215866582,-28.625355863702264,4.1274197769593614e-07,0.00030075594946082587
100,PL_G,-6,Butterworth,-6.0142346731598595,3.5674774284008293,9.581712101560688,0.09965617545883493,0.010973192700488235
100,PL_G,-6,Savitzky-Golay,-6.0142346731598595,4.73537549258198,10.749610165741839,0.09965617545883493,0.008385774882236819
100,PL_G,-6,Wavelet,-6.0142346731598595,-2.102471034251706,3.9117636389081536,0.09965617545883493,0.04048814244063051
100,PL_G,-6,Moving Average,-6.0142346731598595,2.29245994515546,8.30669461831532,0.09965617545883493,0.014717524052656535
100,PL_G,0,Butterworth,-0.018915021680928353,9.476218844007676,9.495133865688604,0.02505949131313311,0.0028148733824610605
100,PL_G,0,Savitzky-Golay,-0.018915021680928353,9.581228606664153,9.600143628345082,0.02505949131313311,0.002747627713048075
100,PL_G,0,Wavelet,-0.018915021680928353,3.851527992209642,3.8704430138905703,0.02505949131313311,0.010278457619919168
100,PL_G,0,Moving Average,-0.018915021680928353,8.030543365417184,8.049458387098113,0.02505949131313311,0.003926688153712902
100,PL_G,6,Butterworth,5.992185517107586,15.217477487048303,9.225291969940717,0.006278591056157606,0.0007504694194383813
100,PL_G,6,Savitzky-Golay,5.992185517107586,12.691700981518881,6.699515464411295,0.006278591056157606,0.0013424887363774989
100,PL_G,6,Wavelet,5.992185517107586,9.41651410742942,3.4243285903218332,0.006278591056157606,0.0028538381416365497
100,PL_G,6,Moving Average,5.992185517107586,13.151395233015355,7.159209715907769,0.006278591056157606,0.0012076503886402183
100,PL_G,12,Butterworth,11.982160704348015,20.21321180009791,8.231051095749894,0.001580755415473768,0.00023755248001454748
100,PL_G,12,Savitzky-Golay,11.982160704348015,14.013318537091035,2.0311578327430198,0.001580755415473768,0.0009902592208552523
100,PL_G,12,Wavelet,11.982160704348015,13.54251694972519,1.560356245377175,0.001580755415473768,0.0011036441199869136
100,PL_G,12,Moving Average,11.982160704348015,16.733002730535095,4.75084202618708,0.001580755415473768,0.0005293957807845055
100,PL_G,18,Butterworth,17.992457672616894,23.672789438015343,5.680331765398449,0.00039612748943568254,0.00010710304172399261
100,PL_G,18,Savitzky-Golay,17.992457672616894,14.421716002288946,-3.5707416703279478,0.00039612748943568254,0.0009013825547506692
100,PL_G,18,Wavelet,17.992457672616894,15.55149518162073,-2.4409624909961636,0.00039612748943568254,0.000694914271011544
100,PL_G,18,Moving Average,17.992457672616894,18.427965243109593,0.4355075704926996,0.00039612748943568254,0.000358330870372552
100,PL_G,24,Butterworth,23.969909587428667,25.25096300720486,1.2810534197761925,0.0001000206770533929,7.447053057493382e-05
